start_node,end_node,pts,length,mean_width,median_width,mean_depth,median_depth,mean_r2,median_r2,considered_trans,water_filled
983,965,"[[582673.0, 7700724.0], [582673.0, 7700723.0], [582673.0, 7700722.0], [582674.0, 7700721.0], [582674.0, 7700720.0], [582675.0, 7700719.0], [582676.0, 7700718.0], [582677.0, 7700717.0], [582678.0, 7700717.0], [582679.0, 7700716.0], [582680.0, 7700715.0], [582680.0, 7700714.0], [582680.0, 7700713.0], [582680.0, 7700712.0], [582681.0, 7700711.0], [582682.0, 7700710.0], [582682.0, 7700709.0], [582683.0, 7700708.0], [582683.0, 7700707.0], [582684.0, 7700706.0]]",23.14213562373095,5.416216080484742,4.959626606742106,0.2983152807821979,0.2930169991483257,0.9271926619170138,0.9277851015428675,0.83,0.0
985,967,"[[582673.0, 7700795.0], [582673.0, 7700796.0], [582674.0, 7700797.0], [582675.0, 7700797.0], [582676.0, 7700797.0], [582677.0, 7700797.0], [582678.0, 7700797.0], [582679.0, 7700797.0], [582680.0, 7700797.0], [582681.0, 7700797.0], [582682.0, 7700797.0], [582683.0, 7700797.0], [582684.0, 7700797.0], [582685.0, 7700797.0], [582686.0, 7700797.0]]",14.414213562373096,5.346085736011718,5.174330145692901,0.22227781432787688,0.25131745387860865,0.9161504107143766,0.9283715759405957,0.77,0.0
986,981,"[[582683.0, 7700748.0], [582684.0, 7700748.0], [582685.0, 7700748.0], [582686.0, 7700748.0]]",3.0,9.75931487993509,9.75931487993509,0.1524326629834652,0.1524326629834652,0.8319060853366609,0.8319060853366609,1.0,0.0
986,982,"[[582684.0, 7700738.0], [582685.0, 7700739.0], [582686.0, 7700740.0], [582686.0, 7700741.0], [582687.0, 7700742.0], [582687.0, 7700743.0], [582687.0, 7700744.0], [582687.0, 7700745.0], [582687.0, 7700746.0], [582687.0, 7700747.0], [582686.0, 7700748.0]]",11.656854249492381,5.289737278197432,5.0995736188348735,0.26306865499824617,0.2573255673320196,0.9146906773812888,0.9116462700615445,0.44,0.0
986,987,"[[582686.0, 7700748.0], [582687.0, 7700749.0], [582687.0, 7700750.0], [582688.0, 7700751.0], [582687.0, 7700752.0], [582687.0, 7700753.0], [582687.0, 7700754.0], [582687.0, 7700755.0], [582687.0, 7700756.0], [582687.0, 7700757.0], [582687.0, 7700758.0], [582687.0, 7700759.0]]",12.242640687119286,5.294065264592588,5.485627680012417,0.1562539951008748,0.1524996060215411,0.8742067047969374,0.8740152512036987,0.8,0.0
987,962,"[[582670.0, 7700757.0], [582671.0, 7700758.0], [582672.0, 7700759.0], [582673.0, 7700759.0], [582674.0, 7700759.0], [582675.0, 7700759.0], [582676.0, 7700759.0], [582677.0, 7700759.0], [582678.0, 7700759.0], [582679.0, 7700759.0], [582680.0, 7700760.0], [582681.0, 7700760.0], [582682.0, 7700760.0], [582683.0, 7700760.0], [582684.0, 7700760.0], [582685.0, 7700760.0], [582686.0, 7700760.0], [582687.0, 7700759.0]]",18.65685424949238,4.406237233095662,4.4462126846317265,0.35348123399254344,0.3616870306167461,0.9323807235084632,0.9299752090140874,1.0,0.0
988,950,"[[582662.0, 7701014.0], [582662.0, 7701015.0], [582662.0, 7701016.0], [582662.0, 7701017.0], [582663.0, 7701018.0], [582663.0, 7701019.0], [582664.0, 7701020.0], [582665.0, 7701021.0], [582666.0, 7701022.0], [582667.0, 7701022.0], [582668.0, 7701022.0], [582669.0, 7701022.0], [582670.0, 7701022.0], [582671.0, 7701022.0], [582672.0, 7701022.0], [582673.0, 7701021.0], [582674.0, 7701021.0], [582675.0, 7701022.0], [582676.0, 7701023.0], [582677.0, 7701024.0], [582678.0, 7701025.0], [582679.0, 7701025.0], [582680.0, 7701026.0], [582681.0, 7701026.0], [582682.0, 7701026.0], [582683.0, 7701026.0], [582684.0, 7701027.0], [582685.0, 7701028.0], [582686.0, 7701029.0], [582687.0, 7701030.0], [582688.0, 7701031.0], [582689.0, 7701032.0], [582689.0, 7701033.0], [582689.0, 7701034.0]]",39.62741699796952,7.19651657414832,7.013505923035261,0.16731303367886471,0.16538376219569373,0.8984156375837008,0.8996402768734322,0.75,0.0
998,1008,"[[582693.0, 7700608.0], [582694.0, 7700609.0], [582694.0, 7700610.0], [582695.0, 7700611.0], [582696.0, 7700612.0], [582697.0, 7700613.0], [582698.0, 7700613.0], [582699.0, 7700614.0]]",9.071067811865476,5.013379659955959,4.806815355444104,0.1708903472615632,0.15199113767609684,0.9401636513699252,0.9245685855717369,0.83,0.0
992,985,"[[582687.0, 7700796.0], [582687.0, 7700795.0], [582687.0, 7700794.0], [582687.0, 7700793.0], [582687.0, 7700792.0], [582687.0, 7700791.0], [582687.0, 7700790.0], [582688.0, 7700789.0], [582689.0, 7700788.0], [582689.0, 7700787.0], [582690.0, 7700786.0], [582690.0, 7700785.0]]",12.242640687119286,5.123964398486606,5.218687110082119,0.21367239448576872,0.21363460309481755,0.8980616159933374,0.8925519594831376,0.6,0.0
993,987,"[[582687.0, 7700759.0], [582688.0, 7700760.0], [582689.0, 7700760.0], [582690.0, 7700761.0], [582691.0, 7700762.0], [582692.0, 7700763.0], [582692.0, 7700764.0], [582692.0, 7700765.0], [582692.0, 7700766.0]]",9.65685424949238,6.017738477435841,5.866185228414601,0.1895239333067764,0.1958995993587254,0.9004024199027861,0.8992310129031541,1.0,0.0
994,997,"[[582692.0, 7700675.0], [582692.0, 7700676.0], [582692.0, 7700677.0], [582693.0, 7700678.0], [582694.0, 7700679.0], [582694.0, 7700680.0], [582694.0, 7700681.0], [582694.0, 7700682.0], [582694.0, 7700683.0], [582693.0, 7700684.0]]",10.242640687119286,3.4719966462337966,3.4630016059722903,0.35348303844900547,0.3157823952427286,0.9662238124294286,0.9652957991446364,0.88,0.0
997,983,"[[582685.0, 7700705.0], [582686.0, 7700704.0], [582687.0, 7700703.0], [582687.0, 7700702.0], [582687.0, 7700701.0], [582688.0, 7700700.0], [582688.0, 7700699.0], [582688.0, 7700698.0], [582688.0, 7700697.0], [582688.0, 7700696.0], [582689.0, 7700695.0], [582690.0, 7700694.0], [582690.0, 7700693.0], [582691.0, 7700692.0], [582691.0, 7700691.0], [582691.0, 7700690.0], [582692.0, 7700689.0], [582692.0, 7700688.0], [582692.0, 7700687.0], [582692.0, 7700686.0], [582693.0, 7700685.0]]",23.31370849898476,4.803952012673631,4.6612664407834075,0.2626614817536525,0.2617338089403902,0.9061532279907725,0.886263638526584,0.74,0.0
